R, P, T, Rho, Kappa, Epsilon, Qm, L_r, dlPlT
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
73002440845.30739, 201143.53111503492, 64300.918715073596, 1.810959580867254e-08, 4.871532352093827, 3.4059679598216936e-38, 2.1695180137948356e-06, 3.826e+33, 2.0087738358817666
73076329955.4747, 168544.60236063597, 58882.91073468529, 1.729769290151347e-08, 6.2829296923651965, 2.808790973607113e-39, 2.169473849455983e-06, 3.826e+33, -0.2739395155540179
73150219065.64201, 200125.87310683634, 31456.381312234163, 4.6300696860928795e-08, 117.59431334632247, 2.0157899497869225e-47, 2.1694307276165503e-06, 3.826e+33, -1.599199381742874
73224108175.80933, 101542.0676427764, 48079.69805777079, 1.3496711327665008e-08, 10.24136768033118, 5.839281047408831e-42, 2.1693150700219377e-06, 3.826e+33, 2.5000000000000027
73297997285.97664, 75451.80821732273, 42694.42721920627, 1.1575940335234461e-08, 13.608890509274135, 1.2772959511914292e-43, 2.1692812874896106e-06, 3.826e+33, 2.499999999999998
73371886396.14395, 53900.87854375081, 37320.00284710211, 9.676451554351644e-09, 18.74677841400323, 1.39447137511522e-45, 2.169252254269338e-06, 3.826e+33, 2.4999999999999996
73445775506.31126, 36570.932147771324, 31956.392205722455, 7.826181044678177e-09, 27.0700958518112, 5.886701449237791e-48, 2.169227936055229e-06, 3.826e+33, 1.9320264636060402
73519664616.47858, 9206.162656108198, 15649.154524007277, 4.2636180548379e-09, 200.3290665491483, 2.0417329098997072e-60, 2.1692082282642744e-06, 3.826e+33, 1.1768875585007108
73593553726.64589, 13204.607526332016, 21261.481829439625, 4.397716661142212e-09, 70.47417036159904, 8.342313177996772e-55, 2.169197469981121e-06, 3.826e+33, 3.3202463139042977
73667442836.8132, 869.5687152628051, 9370.657222619593, 6.684929658662998e-10, 273.495869875035, 5.475230285398716e-72, 2.1691863510975296e-06, 3.826e+33, 0.8466354269856237
73741331946.98051, 616.3823548067028, 6240.845191027874, 7.232490580312774e-10, 1207.083111211598, 6.530535722130946e-82, 2.1691846574523055e-06, 3.826e+33, 4.25
