R, P, T, Rho, Kappa, Epsilon, Qm, L_r, dlPlT
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
147746552206.64267, 1449836.5280709672, 60289.97722029862, 1.7579725620946143e-07, 35.03731247302222, 5.255757680343625e-38, 1.124291156939794e-05, 3.826e+34, 2.448315220722387
147896093251.38623, 1015757.052821652, 52134.90392779281, 1.4310574760516242e-07, 49.27489265440562, 6.5807699075368734e-40, 1.1241815355611529e-05, 3.826e+34, -1.9415584058672115
148045634296.1298, 437097.45469182567, 80490.73828505792, 3.0791590206388786e-08, 3.466373733087333, 2.0512222204595547e-35, 1.1240829564829191e-05, 3.826e+34, 2.5000000000000013
148195175340.87335, 335033.6290492273, 72368.56490981011, 2.748774902821123e-08, 4.482405231491138, 1.1701145223476752e-36, 1.124061702628687e-05, 3.826e+34, 0.4595251905887536
148344716385.6169, 248590.29193611164, 37801.6275825278, 4.8185728001585717e-08, 63.38054038267046, 1.0029677778720176e-44, 1.1240426909031598e-05, 3.826e+34, -0.8455204612429098
148494257430.36047, 177843.6010386387, 56173.29473178084, 2.0344101742842577e-08, 8.24061756226325, 8.164633869579341e-40, 1.1240092962494508e-05, 3.826e+34, 2.5
148643798475.10403, 120664.1977604495, 48100.09917372449, 1.6670204554002814e-08, 11.93425826132568, 6.905725241836761e-42, 1.1239951685282357e-05, 3.826e+34, 1.9087021684020746
148793339519.8476, 30885.393196737845, 23554.783023879474, 9.564313568006673e-09, 90.76370699347274, 9.547662651538432e-53, 1.1239835687737454e-05, 3.826e+34, 1.1225528703638064
148942880564.59116, 43568.02741349784, 32002.34175707294, 9.567957909955077e-09, 31.28250692573322, 7.151569724587563e-48, 1.1239769001636368e-05, 3.826e+34, 3.2974803242243977
149092421609.33472, 2923.1222594647165, 14104.519023413568, 1.4977405814087973e-09, 123.70619849091221, 6.26118531210283e-63, 1.1239702155885212e-05, 3.826e+34, 0.8925246679998969
149241962654.07828, 2033.726733572963, 9393.590825986586, 1.6042911569216187e-09, 541.0073303808763, 1.4149047751223169e-71, 1.123969167104999e-05, 3.826e+34, 4.25
